codigo;nome;fonte
"PMDXS";"PRE.MON.DXS";"PC Factory D0021 - Recurso"
"PME5";"PRE.MON.EIXO.510";"PC Factory D0021 - Recurso"
"PMECCG";"PM.CONJ.SOLD. EIXO CENTRAL";"PC Factory D0021 - Recurso"
"PMEIX3";"PRE.MON.EIXO.310";"PC Factory D0021 - Recurso"
"PMEIXO";"PRE.MON.EIXO.710";"PC Factory D0021 - Recurso"
"PMENGC";"PRE.MON.ENG.CAB.710";"PC Factory D0021 - Recurso"
"PMESAS";"PRE-MONTAGEM MESAS";"PC Factory D0021 - Recurso"
"PMF5";"PRE.MON.FRONTAL.510";"PC Factory D0021 - Recurso"
"PMGGC";"PM.Grades";"PC Factory D0021 - Recurso"
"PML3";"PRE.MON.LAMINA.310";"PC Factory D0021 - Recurso"
"PMLC9";"PM. LANÇA";"PC Factory D0021 - Recurso"
"PMLRL";"PRE.MON,LATERAL.ESQ.DIR";"PC Factory D0021 - Recurso"
"PMMP";"PM.sol.colunas";"PC Factory D0021 - Recurso"
"PMMR";"PRE.MON.MESA";"PC Factory D0021 - Recurso"
"PMPB";"PRE.MON.PÉ.BOSCH";"PC Factory D0021 - Recurso"
"PMPC3";"PM.PÉ.CABEÇALHO.310";"PC Factory D0021 - Recurso"
"PMRD";"Pre Montagem Rolo Duo";"PC Factory D0021 - Recurso"
"PMRDE";"PRE.MON.RODA.ESQ/DIR.TILLER";"PC Factory D0021 - Recurso"
"PMREDT";"PM.RODA DIR/ESQ.TILLER";"PC Factory D0021 - Recurso"
"PMRT";"PRE.MON.ROL.TILLER";"PC Factory D0021 - Recurso"
"PMRTCG";"PRE.SOL.SUPORTE TILLER";"PC Factory D0021 - Recurso"
"PMSCT";"CABEÇALHO TERRUS";"PC Factory D0021 - Recurso"
"PMSCV";"PRE.MON.SOL.CHAPEU.VELLOX";"PC Factory D0021 - Recurso"
"PMSDT";"PM.SUPORTE.DISCO.TILLER";"PC Factory D0021 - Recurso"
"PMSEDC";"PM. SUPORTE EIXO DIRECIONAL";"PC Factory D0021 - Recurso"
"PMSEDCG";"PM.SUPORTE EIXO DIANTEIRO";"PC Factory D0021 - Recurso"
"PMSETCG";"PM.SUPORTE EIXO TRASEIRO";"PC Factory D0021 - Recurso"
"PMSGT";"PRE.SOL.GENERICOS.TILLER";"PC Factory D0021 - Recurso"
"PMSO";"PRE.SOL.MENORES";"PC Factory D0021 - Recurso"
"PMSOL";"PRE.SOL.CJ.MENORES";"PC Factory D0021 - Recurso"
"PMSOLA";"PRE-SOL-ADAPTADORES";"PC Factory D0021 - Recurso"
"PMSRD";"Pre-Montagem Rolo Duo";"PC Factory D0021 - Recurso"
"PMSRT";"PRE-MONTAGEM MENORES";"PC Factory D0021 - Recurso"
"PMT VX";"PRE MONTAGEM VELLOX";"PC Factory D0021 - Recurso"
"PMTA3";"PRÉ.MON.TUB.ART.310";"PC Factory D0021 - Recurso"
"PMTB";"PRÉ.MON.TUBO.BOSCH";"PC Factory D0021 - Recurso"
"PMTC3";"PRE.MON.TUB.CAB.310";"PC Factory D0021 - Recurso"
"PMTCG";"PM.Travessas";"PC Factory D0021 - Recurso"
"PMTF";"PRE.MON.TUB.FRONT.510";"PC Factory D0021 - Recurso"
"PMTPC";"PRE.MON.TUB.PÉ.CAB.310";"PC Factory D0021 - Recurso"
"PMTRC";"PRE.MON.TUB.REF.CHASSI";"PC Factory D0021 - Recurso"
"PMTRCG";"PM.SOLD. TRAVAMENTO RODADO";"PC Factory D0021 - Recurso"
"PN.ADE";"MONTAGEM ADESIVOS";"PC Factory D0021 - Recurso"
"PN.CHA";"MONTAGEM CHASSI";"PC Factory D0021 - Recurso"
"PN.HID";"MONTAGEM HIDR/ELETRI";"PC Factory D0021 - Recurso"
"PN.LAM";"MONTAGEM LAMINA";"PC Factory D0021 - Recurso"
"PN.PNE";"MONT. PNEUS/ANTENAS";"PC Factory D0021 - Recurso"
"PNTEST";"TESTE PROD/LUBRIF";"PC Factory D0021 - Recurso"
"PRE 01";"PRE MONTAGEM";"PC Factory D0021 - Recurso"
"PRE CH";"PRE MONT CHASSI";"PC Factory D0021 - Recurso"
"PRE MON PM05";"PRE MONTAGEM PM05";"PC Factory D0021 - Recurso"
"PRE SI";"PRE MONT SISTEM";"PC Factory D0021 - Recurso"
"PRE TM";"PRE TRANSMISSAO";"PC Factory D0021 - Recurso"
"PRE-TQ";"PRE MONTAGEM TANQUE CARRETA";"PC Factory D0021 - Recurso"
"PROT.MONT";"PROT.MONT";"PC Factory D0021 - Recurso"
"PRE14";"PRE MONTAGEM TANQUE CARRETA 14";"PC Factory D0021 - Recurso"
"PREMTG";"PRE-MONTAGEM";"PC Factory D0021 - Recurso"
"PREP";"PREPARAÇÃO PINTURA";"PC Factory D0021 - Recurso"
"PTB PE";"PRE MONT TUBO PE";"PC Factory D0021 - Recurso"
"REBAIX";"REBAIXO";"PC Factory D0021 - Recurso"
"REBARB";"REBARBAÇÃO";"PC Factory D0021 - Recurso"
"REFORG";"REFORMAS GENERICAS";"PC Factory D0021 - Recurso"
